保険者番号,保険者名,平均年収
6273189,住商連合健康保険組合,1250 - 1000000000000
6273197,ダスキン健康保険組合,600 - 650
6273239,大阪産業機械工業健康保険組合,650 - 700
6273247,大阪工作機械健康保険組合,650 - 700
6273262,グリコ健康保険組合,750 - 800
6273270,大阪府農協健康保険組合,550 - 600
6273296,大阪機械工具商健康保険組合,650 - 700
6273312,阪和興業健康保険組合,900 - 1000
6273320,タカラスタンダード健康保険組合,650 - 700
6273338,万代健康保険組合,500 - 550
6273353,デサント健康保険組合,650 - 700
6273411,ライフコーポレーション健康保険組合,500 - 550
6273445,京セラドキュメントソリューションズ健康保険組合,750 - 800
6273494,小野薬品健康保険組合,900 - 1000
6273502,大倉健康保険組合,650 - 700
6273510,公文健康保険組合,650 - 700
6273544,中山鋼業健康保険組合,650 - 700
6273577,関西テレビ放送健康保険組合,1000 - 1250
6273643,徳洲会健康保険組合,600 - 650
6273668,生長会健康保険組合,550 - 600
6273700,高島屋健康保険組合,600 - 650
6273718,ＮＴＮ健康保険組合,700 - 750
6273726,キーエンスグループ健康保険組合,1250 - 1000000000000
6273734,ラウンドワン健康保険組合,550 - 600
6273759,日本イーライリリー健康保険組合,1250 - 1000000000000
6273783,バイエル健康保険組合,1000 - 1250
6273809,アストラゼネカ健康保険組合,1250 - 1000000000000
6273817,ペガサス健康保険組合,650 - 700
6273825,住友化学健康保険組合,800 - 850
6273833,Ｐ＆Ｇグループ健康保険組合,900 - 1000
6273841,関西ペイント健康保険組合,700 - 750
6273858,ＵＳＥＮ－ＮＥＸＴ　ＧＲＯＵＰ健康保険組合,700 - 750
6273866,パルグループ健康保険組合,550 - 600
6273874,きつこう会健康保険組合,550 - 600
6273882,東和薬品健康保険組合,800 - 850
6273890,ｉＤＡ健康保険組合,550 - 600
6273908,ライク健康保険組合,600 - 650
6273916,因幡電機産業健康保険組合,750 - 800
6273924,サカイ引越センター健康保険組合,650 - 700
6273932,日本経営サエラグループ健康保険組合,650 - 700
6273940,日本毛織健康保険組合,650 - 700
6273957,愛仁会健康保険組合,600 - 650
6273965,ダイレクトマーケティングミックス健康保険組合,600 - 650
6273973,ＪＡＳＴ健康保険組合,700 - 750
6273981,ロートグループ健康保険組合,750 - 800
6273999,極東開発健康保険組合,700 - 750
6274005,フジシールグループ健康保険組合,750 - 800
6280051,住友ゴム工業健康保険組合,750 - 800
6280119,川崎重工業健康保険組合,750 - 800
6280127,神戸製鋼所健康保険組合,750 - 800
6280150,神栄健康保険組合,650 - 700
6280176,兵庫県運輸業健康保険組合,550 - 600
6280226,阪神内燃機工業健康保険組合,650 - 700
6280234,新明和工業健康保険組合,750 - 800
6280309,小泉製麻健康保険組合,650 - 700
6280374,みづほ健康保険組合,600 - 650
6280382,山陽電鉄健康保険組合,700 - 750
6280416,東洋機械金属健康保険組合,700 - 750
6280481,神戸電鉄健康保険組合,650 - 700
6280499,神戸新聞健康保険組合,650 - 700
6280523,住友精化健康保険組合,750 - 800
6280531,多木健康保険組合,700 - 750
6280754,サニーピア健康保険組合,550 - 600
6280770,大和製衡健康保険組合,650 - 700
6280788,兵庫県信用金庫健康保険組合,600 - 650
6280838,日本山村硝子健康保険組合,700 - 750
6280879,ナブテスコグループ健康保険組合,750 - 800
6280887,山陽特殊製鋼健康保険組合,750 - 800
6280960,三ツ星ベルト健康保険組合,700 - 750
6280978,シバタ工業健康保険組合,650 - 700
6280986,虹技健康保険組合,650 - 700
6281000,バンドー化学健康保険組合,750 - 800
6281034,日工健康保険組合,700 - 750
6281075,ノザワ健康保険組合,600 - 650
6281083,宝塚歌劇健康保険組合,550 - 600
6281091,兵庫トヨタ自動車健康保険組合,600 - 650
6281117,神戸貿易健康保険組合,600 - 650
6281141,伊藤ハム米久健康保険組合,750 - 800
6281273,兵庫自動車販売店健康保険組合,600 - 650
6281281,古野電気健康保険組合,700 - 750
6281315,兵庫県建築健康保険組合,650 - 700
6281356,ネスレ健康保険組合,850 - 900
6281372,神戸機械金属健康保険組合,650 - 700
6281380,尼崎機械金属健康保険組合,650 - 700
6281398,東リ健康保険組合,700 - 750
6281430,ワールド健康保険組合,550 - 600
6281448,ノーリツ健康保険組合,700 - 750
6281463,大真空健康保険組合,700 - 750
6281489,ユーシーシー健康保険組合,650 - 700
6281505,尼崎信用金庫健康保険組合,600 - 650
6281547,ジャヴァグループ健康保険組合,550 - 600
6281554,タクマ健康保険組合,750 - 800
6281562,本州四国連絡高速道路健康保険組合,700 - 750
6281596,ノエビア健康保険組合,650 - 700
6281604,ＴＯＹＯ　ＴＩＲＥ健康保険組合,750 - 800
6281612,尼崎中央病院健康保険組合,550 - 600
6290050,南都銀行健康保険組合,600 - 650
6290092,天理よろづ相談所健康保険組合,550 - 600
6290134,ＤＭＧ森精機健康保険組合,750 - 800
6300164,紀陽銀行健康保険組合,650 - 700
6300230,ＳＫ健康保険組合,600 - 650
6300255,和歌山県自動車販売店健康保険組合,600 - 650
6300263,和歌山県農協健康保険組合,550 - 600
6310122,鳥取銀行健康保険組合,600 - 650
6320089,山陰合同銀行健康保険組合,650 - 700
6320139,山陰自動車業健康保険組合,600 - 650
6330070,倉紡健康保険組合,650 - 700
6330120,品川リフラクトリーズ健康保険組合,700 - 750
6330229,中国銀行健康保険組合,650 - 700
6330344,岡山県自動車販売健康保険組合,600 - 650
6330393,ベネッセグループ健康保険組合,700 - 750
6330419,トマト銀行健康保険組合,550 - 600
6330427,倉敷中央病院健康保険組合,550 - 600
6340053,ひろぎんグループ健康保険組合,700 - 750
6340061,マツダ健康保険組合,700 - 750
6340079,広島ガス電鉄健康保険組合,650 - 700
6340186,中国電力健康保険組合,750 - 800
6340228,中国新聞健康保険組合,650 - 700
6340293,中電工健康保険組合,700 - 750
6340400,福山通運健康保険組合,650 - 700
6340426,西川ゴム工業健康保険組合,650 - 700
6340434,広島東友健康保険組合,600 - 650
6340442,ソルコム健康保険組合,650 - 700
6340459,イズミグループ健康保険組合,500 - 550
6340491,広島県自動車販売健康保険組合,600 - 650
6340517,広島信用金庫健康保険組合,600 - 650
6340541,中国しんきん健康保険組合,600 - 650
6340582,ウラベ健康保険組合,650 - 700
6340616,しんくみ中国健康保険組合,550 - 600
6340640,青山商事健康保険組合,600 - 650
6350086,ＵＢＥ健康保険組合,750 - 800
6350102,トクヤマ健康保険組合,750 - 800
6350169,東ソー健康保険組合,800 - 850
6350219,東洋鋼鈑健康保険組合,650 - 700
6350375,山口フィナンシャルグループ健康保険組合,650 - 700
6350433,山口県自動車販売健康保険組合,600 - 650
6350466,西京銀行健康保険組合,550 - 600
6360093,阿波銀行健康保険組合,600 - 650
6360119,大塚製薬健康保険組合,900 - 1000
6360127,徳島大正銀行健康保険組合,550 - 600
6370126,四国電力健康保険組合,700 - 750
6370142,百十四銀行健康保険組合,650 - 700
6370167,神島化学健康保険組合,650 - 700
6370217,大倉工業健康保険組合,700 - 750
6370233,四電工健康保険組合,700 - 750
6370241,タダノ健康保険組合,700 - 750
6370258,香川銀行健康保険組合,600 - 650
6370266,四国地区信用金庫健康保険組合,600 - 650
6380141,いよぎんグループ健康保険組合,650 - 700
6380166,住友共同電力健康保険組合,750 - 800
6380208,帝人グループ健康保険組合,750 - 800
6380216,愛媛銀行健康保険組合,600 - 650
6380224,井関農機健康保険組合,650 - 700
6380232,大王製紙健康保険組合,700 - 750
6380265,来島どっく健康保険組合,650 - 700
6380281,三浦グループ健康保険組合,700 - 750
6390066,四国銀行健康保険組合,550 - 600
6390090,高知銀行健康保険組合,550 - 600
6390124,キタムラ健康保険組合,550 - 600
6390132,近森会健康保険組合,550 - 600
6400055,麻生健康保険組合,650 - 700
6400113,ＴＯＴＯ健康保険組合,750 - 800
6400188,ムーンスター健康保険組合,550 - 600
6400279,昭和鉄工健康保険組合,650 - 700
6400295,安川電機健康保険組合,750 - 800
6400329,西日本新聞社健康保険組合,650 - 700
6400378,福岡銀行健康保険組合,700 - 750
6400477,九州電力健康保険組合,750 - 800
6400501,西日本シティ銀行健康保険組合,700 - 750
6400550,黒崎播磨健康保険組合,700 - 750
6400634,福岡県農協健康保険組合,550 - 600
6400683,九電工健康保険組合,700 - 750
6400766,岡野バルブ健康保険組合,650 - 700
6400790,西部瓦斯健康保険組合,700 - 750
6401038,高田工業所健康保険組合,650 - 700
6401046,日本タングステン健康保険組合,700 - 750
6401111,ロイヤル健康保険組合,550 - 600
6401129,ＰａｙＰａｙカード健康保険組合,800 - 850
6401137,三井ハイテック健康保険組合,700 - 750
6401160,ふくおかＩＣＴ健康保険組合,700 - 750
6401186,山九健康保険組合,700 - 750
6401194,雪の聖母会健康保険組合,550 - 600
6401202,共愛会健康保険組合,550 - 600
6401210,小倉記念病院健康保険組合,550 - 600
6401228,池友会健康保険組合,550 - 600
6401236,西部電気健康保険組合,650 - 700
6410104,佐賀銀行健康保険組合,600 - 650
6410120,巨樹の会健康保険組合,550 - 600
6420194,十八親和銀行健康保険組合,650 - 700
6430128,肥後銀行健康保険組合,650 - 700
6430185,熊本県自動車販売店健康保険組合,600 - 650
6430235,平田機工健康保険組合,700 - 750
6430250,熊本銀行健康保険組合,550 - 600
6440119,大分銀行健康保険組合,600 - 650
6440176,朝日ソーラー健康保険組合,550 - 600
6450019,旭化成健康保険組合,750 - 800
6450084,宮崎銀行健康保険組合,600 - 650
6450118,シーガイアフェニックス健康保険組合,550 - 600
6450142,センコー健康保険組合,700 - 750
6460067,鹿児島銀行健康保険組合,600 - 650
6460075,南日本銀行健康保険組合,550 - 600
6460125,鹿児島県信用金庫健康保険組合,600 - 650
6470017,琉球銀行健康保険組合,550 - 600
6470025,沖縄銀行健康保険組合,550 - 600
6470033,沖縄電力健康保険組合,700 - 750
6470066,沖縄海邦銀行健康保険組合,550 - 600
32010316,札幌市職員共済組合,750 - 800
32010415,北海道市町村職員共済組合,650 - 700
32010514,北海道都市職員共済組合,650 - 700
32020414,青森県市町村職員共済組合,650 - 700
32030413,岩手県市町村職員共済組合,650 - 700
32040412,宮城県市町村職員共済組合,650 - 700
32040511,仙台市職員共済組合,750 - 800
32050411,秋田県市町村職員共済組合,650 - 700
32060410,山形県市町村職員共済組合,650 - 700
32070419,福島県市町村職員共済組合,650 - 700
32080418,茨城県市町村職員共済組合,650 - 700
32090417,栃木県市町村職員共済組合,650 - 700
32100414,群馬県市町村職員共済組合,650 - 700
31110281,日本郵政共済組合,750 - 800
32110413,埼玉県市町村職員共済組合,700 - 750
32120412,千葉県市町村職員共済組合,700 - 750
31130016,衆議院共済組合,850 - 900
31130032,参議院共済組合,850 - 900
31130057,会計検査院共済組合,800 - 850
31130073,内閣共済組合,800 - 850
31130131,防衛省共済組合,750 - 800
31130305,法務省共済組合,800 - 850
31130370,刑務共済組合,750 - 800
31130479,外務省共済組合,800 - 850
31130487,財務省共済組合,800 - 850
31130594,文部科学省共済組合,800 - 850
31130842,厚生労働省共済組合,750 - 800
31130966,厚生労働省第二共済組合,750 - 800
31131105,農林水産省共済組合,750 - 800
31131113,林野庁共済組合,750 - 800
31131147,経済産業省共済組合,800 - 850
31131188,国土交通省共済組合,750 - 800
31131410,国家公務員共済組合連合会職員共済組合,700 - 750
31131741,総務省共済組合,800 - 850
31131865,裁判所共済組合,800 - 850
32130114,地方職員共済組合,700 - 750
32130213,東京都職員共済組合,800 - 850
32130411,東京都市町村職員共済組合,750 - 800
33130014,警察共済組合,750 - 800
34130013,公立学校共済組合,700 - 750
34130021,日本私立学校振興・共済事業団,650 - 700
32140311,横浜市職員共済組合,800 - 850
32140329,川崎市職員共済組合,800 - 850
32140410,神奈川県市町村職員共済組合,700 - 750
32150419,新潟県市町村職員共済組合,650 - 700
32160418,富山県市町村職員共済組合,650 - 700
32170417,石川県市町村職員共済組合,650 - 700
32180416,福井県市町村職員共済組合,650 - 700
32190415,山梨県市町村職員共済組合,650 - 700
32200412,長野県市町村職員共済組合,650 - 700
32210411,岐阜県市町村職員共済組合,650 - 700
32220410,静岡県市町村職員共済組合,700 - 750
32230310,名古屋市職員共済組合,750 - 800
32230419,愛知県市町村職員共済組合,700 - 750
32230518,愛知県都市職員共済組合,700 - 750
32240418,三重県市町村職員共済組合,650 - 700
32250417,滋賀県市町村職員共済組合,650 - 700
32260317,京都市職員共済組合,750 - 800
32260416,京都府市町村職員共済組合,700 - 750
32270316,大阪市職員共済組合,800 - 850
32270415,大阪府市町村職員共済組合,700 - 750
32280315,神戸市職員共済組合,750 - 800
32280414,兵庫県市町村職員共済組合,700 - 750
32290413,奈良県市町村職員共済組合,650 - 700
32300410,和歌山県市町村職員共済組合,650 - 700
32310419,鳥取県市町村職員共済組合,650 - 700
32320418,島根県市町村職員共済組合,650 - 700
32330417,岡山県市町村職員共済組合,650 - 700
32340317,広島市職員共済組合,750 - 800
32340416,広島県市町村職員共済組合,650 - 700
32350415,山口県市町村職員共済組合,650 - 700
32360414,徳島県市町村職員共済組合,650 - 700
32370413,香川県市町村職員共済組合,650 - 700
32380412,愛媛県市町村職員共済組合,650 - 700
32390411,高知県市町村職員共済組合,650 - 700
32400319,北九州市職員共済組合,750 - 800
32400327,福岡市職員共済組合,750 - 800
32400418,福岡県市町村職員共済組合,650 - 700
32410417,佐賀県市町村職員共済組合,650 - 700
32420416,長崎県市町村職員共済組合,650 - 700
32430415,熊本県市町村職員共済組合,650 - 700
32440414,大分県市町村職員共済組合,650 - 700
32450413,宮崎県市町村職員共済組合,650 - 700
32460412,鹿児島県市町村職員共済組合,650 - 700
32470411,沖縄県市町村職員共済組合,600 - 650
